Checked by|Manual Check|REASON|pass_checks2|duplicated|file_name
NC|EXCLUDE|Not ACRES town|TRUE|FALSE|chelseaurl46.json
|||FALSE|FALSE|chelseaurl47.json
NC|EXCLUDE|Just MBTA from Newbury to Rockport|TRUE|FALSE|chelseaurl48.json
NC|EXCLUDE|Off-topic|TRUE|TRUE|chelseaurl49.json
NC|INCLUDE|Covers general metro area, but funded by Chelsea for city planning|TRUE|FALSE|chelseaurl5.json
NC|INCLUDE|Technically a budget report but includes climate concerns|TRUE|FALSE|chelseaurl50.json
|||FALSE|TRUE|chelseaurl51.json
|||FALSE|TRUE|chelseaurl52.json
NC|EXCLUDE|Not ACRES town|TRUE|TRUE|chelseaurl53.json
|||FALSE|TRUE|chelseaurl54.json
|||FALSE|FALSE|chelseaurl56.json
|||FALSE|TRUE|chelseaurl57.json
NC|EXCLUDE|Not ACRES town|FALSE|FALSE|chelseaurl58.json
|||FALSE|FALSE|chelseaurl59.json
NC|EXCLUDE|All MA planning document|TRUE|TRUE|chelseaurl6.json
|||FALSE|FALSE|chelseaurl60.json
NC|INCLDE||TRUE|FALSE|chelseaurl61.json
|||FALSE|FALSE|chelseaurl62.json
|||FALSE|FALSE|chelseaurl63.json
|||FALSE|TRUE|chelseaurl64.json
NC|INCLUDE|Relates to COVID-19 but addresses envrionmental concerns as SDOH|TRUE|FALSE|chelseaurl65.json
NC|INCLUDE||TRUE|TRUE|chelseaurl66.json
|||FALSE|FALSE|chelseaurl67.json
NC|EXCLUDE|Not ACRES town (Logan airport)|TRUE|TRUE|chelseaurl68.json
|||FALSE|FALSE|chelseaurl69.json
|||FALSE|TRUE|chelseaurl7.json
NC|INCLUDE||TRUE|FALSE|chelseaurl70.json
|||FALSE|TRUE|chelseaurl71.json
|||FALSE|TRUE|chelseaurl72.json
|||FALSE|TRUE|chelseaurl73.json
|||FALSE|FALSE|chelseaurl74.json
|||FALSE|FALSE|chelseaurl75.json
|||FALSE|FALSE|chelseaurl76.json
|||FALSE|TRUE|chelseaurl77.json
|||FALSE|TRUE|chelseaurl78.json
NC|INCLUDE||TRUE|TRUE|chelseaurl8.json
NC|EXCLUDE|Not ACRES town|FALSE|FALSE|chelseaurl80.json
|||FALSE|FALSE|chelseaurl81.json
|||FALSE|FALSE|chelseaurl82.json
NC|EXCLUDE|Not ACRES town, all MA|TRUE|FALSE|chelseaurl83.json
|||FALSE|FALSE|chelseaurl84.json
NC|INCLUDE||TRUE|TRUE|chelseaurl85.json
|||FALSE|FALSE|chelseaurl86.json
NC|EXCLUDE|Not ACRES town, all MA|TRUE|FALSE|chelseaurl87.json
NC|INCLUDE||TRUE|TRUE|chelseaurl88.json
|||FALSE|FALSE|chelseaurl89.json
NC|INCLUDE||TRUE|TRUE|chelseaurl9.json
|||FALSE|FALSE|chelseaurl90.json
|||FALSE|FALSE|chelseaurl91.json
|||FALSE|FALSE|chelseaurl92.json
|||FALSE|TRUE|chelseaurl93.json
NC|EXCLUDE|Off-topic|TRUE|TRUE|chelseaurl94.json
|||FALSE|TRUE|chelseaurl95.json
NC|INCLUDE||TRUE|TRUE|everetturl1.json
|||FALSE|TRUE|everetturl10.json
NC|INCLUDE||TRUE|TRUE|everetturl11.json
NC|EXCLUDE|Not town-specific; whole MyRWA|TRUE|TRUE|everetturl12.json
|||FALSE|TRUE|everetturl13.json
|||FALSE|TRUE|everetturl14.json
|||FALSE|FALSE|everetturl15.json
NC|EXCLUDE|Off-topic|TRUE|FALSE|everetturl16.json
|||FALSE|FALSE|everetturl17.json
|||FALSE|TRUE|everetturl18.json
|||FALSE|FALSE|everetturl19.json
NC|INCLUDE||TRUE|TRUE|everetturl2.json
NC|INCLUDE|Technically a financial report but mention|TRUE|TRUE|everetturl20.json
NC|EXCLUDE|Not ACRES town (all MA)|TRUE|TRUE|everetturl21.json
|||FALSE|FALSE|everetturl22.json
NC|INCLUDE||TRUE|FALSE|everetturl23.json
|||FALSE|TRUE|everetturl24.json
|||FALSE|FALSE|everetturl25.json
NC|EXCLUDE|Not ACRES town (all MA). BUT very interesting in that it compares coastal flooding concerns across coastal communities|TRUE|FALSE|everetturl27.json
NC|INCLUDE||TRUE|TRUE|everetturl28.json
NC|INCLUDE||TRUE|TRUE|everetturl29.json
NC|INCLUDE||TRUE|TRUE|everetturl3.json
